bills_M7_bad
"1. Critical Infrastructure Protection
2. Cybersecurity
3. Electric Infrastructure"
"1. Public Lands
2. Hunting
3. Permits"
"1. Family
2. Stability
3. Kinship Care"
"1. Microbicide Development Act
2. Microbicide Research and Development
3. HIV/AIDS Prevention"
"1. VetSuccess
2. Enhancement Act
3. VA Programs"
"1. Fair Housing Act
2. Commemorative Work
3. Federal Land"
"1. National Deaths Registry
2. Data Sharing
3. Improper Payments"
"1. Retirement
2. Inflation
3. Protection"
"1. Abraham Lincoln National Heritage Area
2. Management Plan
3. Heritage Coalition"
"1. Vote Tabulation
2. Audit Act
3. Election Standards"
"1. Tariff Schedule
2. Duty Suspension
3. 1-Propene"
"1. Anticompetitive practices
2. Generic drugs
3. Patent infringement"
"1. SMA
2. Clinical Trials
3. Drug Development"
"1. Healthy Food
2. Financing Initiative
3. Underserved Areas"
"1. Renewable Energy
2. Thermal Energy
3. Energy Efficiency"
"1. Infrastructure Investments
2. Clean Water
3. Flood Control and Water Resources"
"1. Obstetric Fistula
2. International Women's Health
3. Empowerment"
"1. Campaign Finance
2. Transparency
3. Advertising"
"1. Global Service Fellowship Program
2. International Volunteering
3. Cultural Exchange"
"1. Project Rebuild
2. Abandoned Properties
3. Land Banks"
"1. Tariff Schedule
2. Staple Fibers
3. Viscose Rayon"
"1. Home Modification
2. Senior Care
3. Initiative Act"
"1. Textile Research
2. Innovation
3. Exportation"
"1. Methamphetamine
2. Substance Abuse
3. Child Welfare"
"1. Federal Reserve
2. Sunshine Act
3. Comptroller General"
"1. Pine Beetle Prevention
2. Forest Recovery
3. Stewardship Contracts"
"1. Native American Housing
2. Self-Determination Reauthorization Act
3. Indian Housing Plans"
"1. Foster Care
2. Tax Credit
3. HHS Outreach"
"1. Counterfeit Goods
2. Military Standards
3. National Security"
"1. Freedom Act
2. ATF
3. Hand Tools"
"1. Foreclosure crisis
2. Mortgage lending
3. Predatory lending"
"1. Sage-Grouse
2. Conservation
3. Act"
"1. Skills Gap
2. On-the-Job Training
3. Tax Credit"
"1. Critical Infrastructure Protection
2. Geomagnetic Disturbance
3. Electromagnetic Pulse"
"1. Rental-Purchase Agreements
2. Consumer Protection
3. Federal Regulation"
"1. Judicial Code
2. Realignment Act
3. Federal Districts"
"1. Menstrual Products
2. Tax Credit
3. Inflation Adjustment"
"1. Airport
2. Noise
3. School"
"1. Graduation Promise Act
2. School Improvement
3. High School Achievement"
"1. Tariff Schedule
2. Footwear
3. Leather"
"1. Homeowners' Relief
2. Neighborhood Stabilization
3. Emergency Mortgage Assistance"
"1. Student Credit Card Protection Act
2. Credit Limit
3. College Student Credit Card Accounts"
"1. Artist-Museum Partnership Act
2. Tax Deduction
3. Artistic Adjusted Gross Income"
"1. E-2 Visa
2. Immigration
3. Employment"
"1. Veterans Home Loan
2. Refinance Opportunity
3. Act of 2011"
"1. Marriage Act
2. Defense of Marriage Act
3. Federal Rules of Construction"
"1. Rattlesnake Mountain
2. Public Access
3. National Monument"
"1. Rangeland management
2. Grazing permits
3. Livestock carrying capacity"
"1. Campus Safety
2. Children Act
3. Higher Education"
"1. Vessel Design
2. Copyright Law
3. Hull Protection"
"1. Geospatial Technology
2. National Geospatial Database
3. Geospatial Data Plan"
"1. Spectrum Relocation Fund
2. Research and Development
3. Efficiency and Effectiveness"
"1. Medicare
2. Physicians
3. Reserve Component"
"Noose
Hate Crime
Act"
"1. Tax
2. TARP
3. Social Security"
"1. Homeland Security
2. National Applications Office
3. Classified Satellite Information"
"1. Repeal of Payment Reporting
2. Rescission of Stimulus Funds
3. Compliance with Pay-As-You-Go"
"1. Continuing Appropriations Act, 2011
2. Appropriations for FY2011
3. Emergency Requirements"
"1. Public Housing Authority Act
2. Small Public Housing Agencies
3. Civil Rights Certification"
"1. Equity in Government Compensation Act
2. Fannie Mae and Freddie Mac Compensation
3. Clawback and Public Debt"
"1. Health Information Technology
2. Physician Referrals
3. Social Security Act"
"1. Education Loans
2. Tax Deductions
3. Coverdell Education Savings Accounts"
"1. River Restoration
2. Engineering
3. Settlement Agreement"
"1. Bulletproof Vest
2. Partnership Grant
3. Law Enforcement Officers"
"1. Sangre de Cristo National Historical Park
2. Establishment Act
3. Old Spanish Trail"
"1. American Security
2. Freedom Fuels
3. Act of 2010"
"1. Natural Gas
2. Clean Air Act
3. Renewable Energy"
"1. Tax Credit
2. Coal Production
3. Amendments"
"1. Nuclear Waste
2. Informed Consent
3. Act"
"1. Fairness
2. Obamacare
3. Healthcare"
"1. Land Grant Act
2. Conservation
3. Timber Harvesting"
"1. Whaling
2. National Historical Park
3. Resources Assistance Act"
"1. Pension Transparency
2. Bond Issuance
3. Reporting Requirements"
"1. Bureau
2. Research
3. Transparency"
"1. Death in Custody
2. Reporting Act
3. Criminal Justice Assistance"
"1. Tariff Schedule
2. Strontium Europium Halophosphate
3. Fluorescent Lamps"
"1. Startups
2. Tax Deduction
3. Amendment"
"1. Tax Deduction
2. Charitable Use
3. Mileage Rate"
"1. Credit Rates Act
2. Truth in Lending Act
3. Consumer Protection"
"1. American Public Housing Act
2. Department of Housing and Urban Development
3. Exemptions from reduction"
"1. Tariff Schedule
2. Synthetic Staple Fibers
3. Duty Suspension"
