level_0,text,target,title,date
0," For the past week or so I've been trying to install a QIC-36 tape drive and an everex 8bit full size controller in my 486dx50 EISA system with no luck. I end up getting an error (miscompare) during the streaming read part of the test. I am pretty certain that the port setting, irq & dma are set properly since the tape responds properly to all commands, rewind, retension, write and erase, I also booted the system clean and still the same proble so I also tend to eliminate any memory conflicts. It has been suggested that my bus speed is too fast and that I need to slow it down. My system has an AMI BIOS and I don't have the advanced chip setting option that I have seen on other systems so I cant do this. Am I going to have to accept that this set up won't work? or can anyone suggest a work around? I will be glad to hear your advice/suggestions. Tony   ",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480
728,"This is the story of Kent, the archetype Finn, that lives in the  Bay Area, and tried to purchase Thomas Paine's ""Age of Reason"". This man was driving around, to Staceys, to Books Inc, to ""Well, Cleanlighted Place"", to Daltons, to various other places.  When he asked for this book, the well educated American book store assistants in most placed asked him to check out the thriller section, or then they said that his book has not been published yet, but they should receive the book soon. In some places the assistants bluntly said that they don't know of such an author, or that he is not  a well known living author, so they don't keep copies of his books.  Such is the life and times of America, 200+ years after the revolution.   Cheers, Kent",0,alt.atheism,2023-10-14 18:59:16.722480
729,   Surely you are not equating David Koresh with Christianity? The two are    not comparable.,19,talk.religion.misc,2023-10-14 18:59:16.722480
730,"Last year, I was totally surprised when my annual physical disclosed an inguinal hernia.  I couldn't remember doing anything that would have caused it.  That is, I hadn't been lifting more than other people do, and in fact probably somewhat less.  Eventually the thing became more painful and I had the repair operation.  This year I developed a pain on the other side.  This turned out to be another inguinal hernia.  So I go back to the hospital Monday for another fun 8-) operation.  I don't know of anything I'm doing to cause this to happen.  I'm 38 years old and I don't think I'm old enough for things to start falling apart like this.  The surgeon who is doing the operation seems to suspect a congenital weakness, but if so, why did it suddenly appear when I was 37 and not really as active as I was when I was younger?  Does anyone know how to prevent a hernia, other than not lifting anything?  It's rare that I lift more than my 16-month-old or a sack full of groceries, and you may have noticed that your typical grocery",13,sci.med,2023-10-14 18:59:16.722480
731,      The point about its being real or not is that one does not waste time with what reality might be when one wants predictions. The questions if the atoms are there or if something else is there making measurements indicate atoms is not necessary in such a system.   And one does not have to write a new theory of existence everytime new models are used in Physics.,19,talk.religion.misc,2023-10-14 18:59:16.722480
732,"   The ""R Us"" is not trademarked, but the ""Backwards R Us"" is, I  believe.    ---    Speaking of proofs of God, the funniest one I have ever seen was in a   term paper handed in by a freshman.  She wrote, ""God must exist, because   he wouldn't be so mean as to make me believe he exists if he really   doesn't!""  Is this argument really so much worse than the ontological   proofs of the existence of God provided by Anselm and Descartes, among   others?",0,alt.atheism,2023-10-14 18:59:16.722480
733,"Here is a press release from Huntington Medical Research Institutes.   New Method For Diagnosing Alzheimer's Disease Discovered at Huntington Medical Research Institutes: Results to Be Reported  To: National Desk, Health Writer  Contact: John Lockhart or Belinda Gerber, 310-444-7000, or           800-522-8877, for the Huntington Medical Research           Institutes.     LOS ANGELES, April 28  -- A new method for diagnosing  and measuring chemical imbalances in the brain which lead to Alzheimer's disease and other dementias has been discovered by researchers at the Huntington Medical Research Institutes (HMRI) in Pasadena, Calif.  Results of their research will be reported in the May issue of the scientific journal, Radiology.    Using an advanced form of magnetic resonance imaging (MRI) called magnetic resonance spectroscopy (MRS), a research team led by Brian D. Ross, M.D., D. Phil., conducted a study on 21 elderly patients who were believed to be suffering from some form of dementia. The exams used standard MRI equipment fitted with special software developed at HMRI called Clinical Proton MRS.  Clinical Proton MRS",13,sci.med,2023-10-14 18:59:16.722480
734,"  I would guess the high price of gas in Europe (compared to the US) has always favoured 4-cylinder manuals.  small engines with autos are a real bore...  But why not turn the question around, why are automatics so common in the US?  My guess is that when they tried to couple manuals to the torque-rich V8's in the sixties the clutches turned out as real killers you had to  use both feet to depress, and that this has just lived on.  And also, an automatic with a V8 engine can be real fun to drive.  Markus   __________________________________________________________________________    _    _     _     ____              _________           / |  / |   / |   /   / /  /  /   / /         /  | /  |  /__|  /___/ /--|  /   / /___  ",7,rec.autos,2023-10-14 18:59:16.722480
735,"   Hi.  He needs insert the MO before FileSharing get turned on, and the only one that can see the disk is the owner of the machine. (I'm not sure but seems that the check ""Allow owner to see entire disk"" should be enabled too).  A bad thing: you can't eject the disk until FS is turned off.  Hope that helps.  -- Pablo A. Millan L.        |  MIS OPINIONES SON MIAS (pero te las puedo vender) ------------------------------------------------------------------------------ email : pablo@ing.puc.cl  |  Seeds Limitada, Santiago, Chile",4,comp.sys.mac.hardware,2023-10-14 18:59:16.722480
736,"One can only remap special-command keys in procomm it seems. I would like to remap other keys too - especially ""altgr 2"", and such combinations.  Anybody know a plain OR dirty way to do this?? (of cause most people settle for remapping function keys, but I don't see why there should be a limitation...)",2,comp.os.ms-windows.misc,2023-10-14 18:59:16.722480
