text,target,title,date,check
" you may have been able to bounce the front up but not actually do a ""wheelie"". see the shaft effect unloads the rear susspension and effectivly loads the front. this is why a shaft bike should accelerate if it starts scraping in a corner...... ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
" Oh yeah, all the time.  On a nice spring/summer day, I roll down the window and drive around looking for bikes.  When a bike motors by in the opposite direction, I stick my arm out and hi5'em.  My arm feels like a million  bucks when I'm doing this a 60km/h.  I do the same thing with cyclists. The only problem with hi5ing a cyclist is their always in the right hand lane. I hafta roll down the other window and hi5 them on the back.  Oh well, I  think they appreciate the thought.   Regards, Ted. ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"  Yeah!  I found beelzebub inside a worm...yeah, that's it!  (actually it was vodka - Gordon's if I remember correctly... I didn't even buy it (of course, that's probably the reason I drank _so_ much of it that night...never again.)  ",8,rec.motorcycles,2023-10-14 18:59:16.722480,yes
"I looked at that Bimmer yesterday. It's an '81, has about 90kmi, according to owner (odometer stopped working at 68Kmi). Drivess well, sounds good, body is OK, he wants $3000. i liked the car, despite it's auto tranny, but my wife will be a primary driver on this one, and she wants auto. The radio does not work untill the car warms up and you honk the horn (!) The A/C seems to have a leak.  The sunroof is sticky, but operational. Odometer does not work, as mentioned before. Idle is a bit bouncy, going from 900rpm to 1200rpm. Wipers are slow. That's teh gripes. The owner says that he changed radiator, alternator,  rotors and calipers, exhaust. The biggest problem, is that the owner is a shifty SOB, telling strange stories. I hate that. I would never buy from a persom like that, except, how often you see a descent 528i for that amount of money. He also said that, although I could bring a mechanicin, he wouldn't let me check the car by taking  it to a garage. Suspicious. And who knows what milage is on it. So, let me know what to check for, given",7,rec.autos,2023-10-14 18:59:16.722480,yes
Does anyone know the status of Jeffries or Arocha? ,9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
"Oh, yea, and Chris Bosio pitched a NO-HITTER.  One over the minimum, two bases on ball in the first inning, one runner left, 95 pitches.  I listened to the game on radio and listening to Dave Niehaus call the game was a real treat (as long as they keep Ron Fairly quite, I doubt if anyone is better than Niehaus -- but that Fairly guy is really annoying me).  But, I guess if Clemens or Viola had been pitching, it would have  been a different story :-)  Two shutouts in two nights against the hottest, best hitting team in Major League baseball ....  Pretty impressive in any league.  Man, if Johnson, Bosio and Hanson keep going the Mariners could be a  really interesting team to follow this year.  Also, John Cummings (rookie) has had three solid outings with no support.  If Fleming comes back  this may be the best starting staff in the American League this year (relief is another story, though - grimace).  Too cool.  The first no-hitter that I have been able to follow from  start to end.  And again, I think Niehaus",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
Yeah... and BMW 525e has 2.7 litres   535      3.4   BTW - can someone out there please tell me how to put someone else's file  on and then reply to that so the other person's file and my own 'reply' go to the newgroups together? (ps: just mail me personally) ,7,rec.autos,2023-10-14 18:59:16.722480,yes
" The problem is that (by no fault of ESPN) ongoing games are not covered 'til the final horn sounds.  With two channels, SCNY and SCA, late-finishing games (up to Pacific time) and overtimes elsewhere will kick in at the end of local coverage.  If SCNY is blocked by the Mets, there is still some hockey on SCA (SCNY Plus).  With an ESPN 2, the current situation would be alleviated.  gld",10,rec.sport.hockey,2023-10-14 18:59:16.722480,yes
" Minor point:  Shea Stadium was designed as a multi-purpose stadium but not with the Jets in mind as the tennant.  The New York Football Giants had moved to Yankee Stadium (from the Polo Grounds) in 1958 and was having problem with stadium management (the City did not own Yankee Stadium until 1972).  The idea was to get the Giants to move into Shea. When a deal was worked out between the Giants and the Yankees the new AFL franchise, the New York Titans, approached the City about using the new stadium.  The Titans were playing in Downing Stadium (where the Cosmos played soccer in the 70s).  Because Shea Stadium was tied into the World's Fair anyway, the city thought it would be a novel idea to promote the new franchise and the World's Fair (like they were doing with the Mets).  So the deal was worked out.   I'm under the impression that when Murph says it, he means it!  As a regular goer to Shea, it is not a bad place since they've cleaned and renovated the place.  Remember, this is its 30th Year!",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
"} Last night, Boston Red Sox win its 11 games of 14 games by beating Seattle } 5-2.  Roger Clemson pitch not so dominate.  He walked at least 6 man in } first 6 inns.  But Valetin and Greenwell hit homeruns and Red Sox prevail.  Clemens struggled with his control, but was also the ""beneficiary"" of some pretty shoddy umpiring. but to be fair, most of the walks were early in the game, and he adjusted. he was also helped by (dare i say it?) some pretty good defense by the Sox, including Rivera playing at second, not his normal position.  actually, Clemens is pretty lucky that he got the win, considering the Sox almost gave up the lead in the bottom of the 7th on Mo's error catching a throw-over.  } I think that game is must win for Red Sox in Seattle, considering Darwin will } faced Seattle ace Randy Johnson tonight.  must win? in April? they've already won 4 more games so far than anyone thought they would at this  point of the season... i hope people aren't getting too caught up in this streak; it's been fun, but",9,rec.sport.baseball,2023-10-14 18:59:16.722480,yes
