,text,target,title,date,check
5283,"I have been told by several people that Sony data cartridges don't quite cut it in the Jumbo 250 tape drive (lots of bad blocks).  If you're using Sony tape, try switching to something else -- like maybe 3M.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5511," He's right ya know.  I've helped to install Dos 6 on about 4 computers now, mine included.  On one, he bought the Stacker to Doublespace converter, and it worked fine (rather, he sent in the coupon for the converter).  In other cases, I've run the doublespace installation without a problem when compressing a new drive, compressing free space, or whatever else. Seems to work for me.   Well, I ran the normal SETUP thing and it worked fine for whatever that's worth.   Couldn't agree more.  On my 486-50 I don't miss the speed.  It's still faster than a normal disk read would be.  As for the less compression, I've sacrificed that in favor of the convenience of having the dblspace.bin load before anything else.  With Stacker, any changes to your config.sys or autoexec.bat meant rebooting twice so it could update those.  Personally, I'm waiting for Stacker 4.0 to come out and implement those hooks and stuff.  Plus, the DEFRAG that comes with DOS is okay, but I much prefer COMPRESS from PC-TOOLS for sheer bells and whistles.  Plus, defrag is sooooo sloooow on a dblspace drive.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5419," This is a fundamental aspect of Novell's business; they wouldn't be where they are if they didn't live up to their ""Novell Does Printing"" slogan.  We run 6 printers of varying types off our Novell network; I'm sure there are places with hundreds.  RTFM on the CAPTURE command, PRINTCON, PSERVER, and the sections of the Windows 3.1 manual which cover network printing.  If you haven't bought Novell's products yet, rephrase your question and look for information about how *well* various competitors do printing.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5180,"I am planning on upgrading my old XT compatible system with a new motherboard, hard drive, and 1.4 MB floppy.  I am interested in using my old power supply (150 W) to power the new hardware, if possible.    I have been told by the motherboard vendor that I could probably use the supply if it had twelve wires going to the motherboard. (Apparently some XT vintage supplies had only 11 wires -- the 12th wire is a 5v line used to charge the motherboard battery).  My question is has anybody tried bringing an additional wire out of an 11 wire supply OR using an auxiliary power source to charge the motherboard battery?  I do not wish to buy an entirely new power supply if I can  make use of my existing one with simple hacks.  Thank you for any information.   An email reply to rarbanas@rcsuna.gmr.com would be fine.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5512,"Where is the best place to find classified type ads for used PC's?  Several other computer makes have their own "".wanted"" sections on the  Usenet. What about PC's and compatibles? Where's the cheapest place  nationally to buy used PC systems and laptops? ",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5335," <speaking of CPU fans>   Do these CPU Fans also have heat sinks?  Do you recommend using both on the same chip (i.e. heat sink sandwiched between CPU and Fan)?  If we are just talking about a CPU Fan blowing directly on the CPU chip, I can't see how ""heat sink grease"" is necessary (or even desireable). --   =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5396,"Has anybody ever heard of Hawk EISA/VLB motherboards?  NET Computers International (from Computer Shopper) has the 486/33 version w/256k cache for $559.  I'm trying to decide between this motherboard and the NICE motherboard.  Thanks!    PS:  The Hawk motherboard has 3 EISA slots, two of which are VLB.  The spec sounds identical to the Nice.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5424,": Build 59 causes 2 exceptions when I exit Windows. In fact, I have had : this happen on all builds after 44, which shipped with my Gateway : system.  Am I doing something wrong, or is this problem commonly : overlooked?  I have never had ""exceptions"" with build 44, 50, or 59 drivers.  I have a GW2000 DX266.  --",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5425,": Just curious why floptical drives never seemed to catch on. Remember : those 21 Mb disks that look and feel like 3.5"" floppies? These drives : are SCSI devices and can read and write both 720 Kb and 1.44/21 Mb : disks. Sounds to me to be one great product for the PC market. Are the : prices really that unaffordable compared to CD-ROMs which are currently : not rewritable? I know about the new rewritable CDs and expect SONY to : develop the first MDs for the computer. My question is: why isn't there : any substantial interest in developing the flopticals?  Certainly in the UK the 21Mb flopticals are about the same price as a cheap CD-ROM now (you seem to be able to get them for around GBP 200-250). However the bigger optical drives (e.g. 128Mb) are much more expensive - around the GBP 1000 mark.  A couple of questions that someone may be able to answer - the 21Mb flopticals - are they direct drop in replacements for a floppy or do they need driver software etc. I.e. do you just rip out the floppy drive, plug the same cables into the floptical,",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5262,"I'm writing a driver that needs to remap some I/O ports.  This means virtual mode.  Unfortunately virtual mode means it won't get along with expanded memory managers, so I need make it an EMM driver too.  Does anyone out there have EMM code.  Can any point me to an EMM code source?  -Thanks, Morgan",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5272,Are there anyone who wants to sell used 386dx-33 motherboard? If you have one please let me know the price and the specification  I am also interested in buying Trident VGA card  (1Meg),3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5517,"I just ordered my 4DX2-66V system from Gateway.  Thanks for all the net discussions which helped me decide among all the vendors and options.  Right now, the 4DX2-66V system includes 16MB of RAM.  The 8MB upgrade used to cost an additional $340. ",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5144,"  I have got an Adaptec SCSI card, that comes with its own version of FDISK. The problem with DOS is that it will only see two hard disks, any more need to be done by device drivers. ",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5344,"Hi,  Does anyone have a source for 386DX/25 Motherboards?  I've been calling around the local stores and everyone appears to be only stocking the 386DX/33/40 or 386SX/25/33 motherboards.  How difficult is it to modify a 386DX/40 motherboard to run at 25 MHz?  Is it as simple as replacing the system clock with a slower part?  Thanks!",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5203,"Hi,  I have the following problem: I have to use a computer for special purposes that doesn't have a monitor and keyboard connected. No monitor isn't a  program - but no keyboard. I can't disable the keyboard from BIOS setup (in fact, there is no setup). I spoke to someone who said that he had fooled the BIOS with simply using a self-made connector that connects two pins via a resistor. Pity, pity... I lost contact to the person before getting more detail. So does anyone of you experts can help?  Thanks for any hints, even vague ones :-)  Thomas",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5273,"*** On 04-21-93  04:54, Mark had the unmitigated gall to say this:   Ma> Does anyone know what the standard port addresses are for COM ports 5  Ma> through 8? (If there is a standard of any sort!)  There are no standards for PC COM ports above COM2.  While there are ""de facto"" standards for COM 3-4, they are not guarenteed to work.  The PS/2 can use up to 8 ports, I think, but I don't know the specs.  Good luck!  ... I tried to contain myself, but I escaped. --- Blue Wave/QWK v2.10                          ",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5456," The original poster, John Navitsky, said that he might use the monitor on a SparcStation LX. The LX is able to generate a picture at 1280*1024 at 76 Hz. Not officially, but I tried to set this resolution and refresh rate and the LX came up with a non-syncing screen. Our tube obviously couldn't handle this speed. At 67 Hz, it worked perfectly.  When buying a third party monitor that's going to be used on a SparcStation LX, you might consider a monitor that's fast enough to do 1280*1024 at 76Hz. I don't know for sure whether the LX supports this (Sun certainly won't tell you) so you'll have to check.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5452,"  {deletions} Yes, this is a valid concern IMHO.  With the directly attached fan units I've seen, it looks like if the fan were to stop the chip cooling would be  a good bit worse than no heat sink at all.  In other words, if the fan stops the unit turns into an insulator and the chip might get hot enough to suffer permanent damage, not just stop working temporarily.  My Zeos 486DX2/66 (tower case) has a passive heat sink on the cpu, and it's located so the front fan, which sucks air into the case, blows right on the heat sink.  If that fan stops the heat sink is still cooled by convection air flow so should not see too dramatic a temperature rise.  Essentially the  arrangement you're talking about and a good idea IMHO. ",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5399,"Just curious why floptical drives never seemed to catch on. Remember those 21 Mb disks that look and feel like 3.5"" floppies? These drives are SCSI devices and can read and write both 720 Kb and 1.44/21 Mb disks. Sounds to me to be one great product for the PC market. Are the prices really that unaffordable compared to CD-ROMs which are currently not rewritable? I know about the new rewritable CDs and expect SONY to develop the first MDs for the computer. My question is: why isn't there any substantial interest in developing the flopticals?  Just a thought.",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5423,"My 3.5"" floppy drive stopped recognizing low density (720K) floppies.  The controller and drive works fine in another system. I was told it could be the DMA chip. The system is a 386DX-25 using Chips & Technology chip set. I'm open to all suggestions. Please send your replies to:    ken@jazz.concert.net",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5222,      1.  Don't hold your finger on it  2.  When cooking with it use a very small pan and be sure    to not spill liquids on the components  3.  If you do not plan to cook with it there are a number of    small cooling fans designed to mount on the chip and plug    into your power supply.  Look in Consumer Shoppers.,3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
5164,"I must say that I have been a customer of Midwest Micro for over 4 years now, and have been well taken care of on each purchase. I have had many friends that have bought that same modem and (THEY) do have some experience with setting up modems, so there have been no problems in 6 of them that I know of. The fact that your time to valuable for you to spend on the modem is where you went wrong. WHY you say because I must tell you of the 12 yes I say 12 PPI modems that I have had in the past that I was trying to use on my bbs. They all were junk and were replace 3 times each, to ther point that I just said forget it and I wanted my money back. PPI's teck even said that they didn't even repair them. That they just strip the parts that are good and junk thr rest of the modem. I think it was more your fault than Midwest Mirco's faulkt...Sam",3,comp.sys.ibm.pc.hardware,2023-10-14 18:59:16.722480,yes
