,text,target,title,date,check
6890,":>Steve,  you're the one who suggested that a failed government should be an  :>ideal proving ground,  I never felt that way in the first place.  Quite the  :>contrary,  I think a better proving ground would be someplace that already :>had a governemnt that would prevent outright acts of agression,  yet had a :>strong spirit of individualism and initiative.  Someplace like... Texas :-) :> :>Mr. Grinch   :  : :  :And while Texas taxpayers might willingly eliminate tax-support for UT :and TAMU, I'm not sure they'd support gutting the football programs. : Football can pay for itself.   :Then there's the impact on Ross Perot's fortune of eliminating the various  Why?  He's already made it.  Sure nodoby else will be able to bilk the public in the same specific ways,  but why should he (or I) care?   :All in all, Texas doesn't seem to be a very likely place for :libertarianism to take hold. :-) More likely than most places.  When I was there the most ""important""  state issue was whether to have a state income tax or instead legalize a",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6816," [unrelated text deleted]    I think that Phil needs to get out a ruler and see exactly how big 50mm rounds are - roughly 2"" diameter.  The type of stuff used in Anti-Aircraft gunnery. .50 calibre is much smaller, but the 3000m effective range (~2mi) sounds about right. Maybe he just got the two confused..... The FBI's reasoning was sound, but the note from PH-B was factually wrong.  Tom H.    --  --------------------------------------------------------------------------------Tom Hyatt                                  I'm a diehard Saints fan, so i've    thyat@sdf.lonestar.org                     suffered quite enough, thank you!    Arlington, TX                                            ",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6928,Has anybody heard an explanation of why the FBI was using tear gas in a 35 mph wind?  Doesn't seem like vry good tactics to me ...  Any other explanations?  Lew,18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6756,"  What I saw on TV and what you claim are two different things. The Davidians did not start shooting until after the BATF lobbed a couple genades in the windows and started shooting themselves.    EASY! If you see federal agents in body armor with sub machine guns going in throught windows, that is a No-Knock warrant. Also since the  videotape shows the BATF throwing grenades before the BD's etunred fire,  you can safely assume that they didn't ring the doorbell.   P.Vasilion,",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6980," You have perhaps heard of the Dead Sea.  I may be wrong, but I believe it is not misnamed.  And I don't believe that humans had a hand in it, although it is possible since the great cedar forests of Lebanon were but a memory by the time of Christ if not earlier.  But, more on the point, while Nature is the may be the more prolific ""despoiler"", Man is certainly the more creative.  We have to our credit pesticides and heavy metals, not to mention radioactivity, which is so wonderfully persistent and fatal (not that we invented radioactivity or heavy metals, we only concentrated them so that they would be a more lethal threat).  In general I find Mr. Bacon's arguments rhetorical, devoid of sense, and therefore trivial.  BTW, is there any reason this discussion is on phl.misc?",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6775,"   If true, and if gays were the same as straights except for sexual preference, I would imagine that gays would have much less sex than straights because the available pool for dates is less than one-tenth what it is for straights.  Somebody correct (flame) me please!",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6713,"  How wrong you will be.  I participated in the last National March on   Washington (MOW) for LesGayBi rights (Oct 11, 1987) - with a turnout of   about 750,000 people - and we didn't have alot pissing us off at the time.    The big issue was the AIDS crisis, but we weren't being slapped around   quite as bad as we are now.  This time its AIDS, and Equal Rights,  and   the Military Squabble.  And this MOW has been in the planning for YEARS   whereas the last one was pulled together in a relatively short time.  The   last MOW was the largest ever on D.C. and you can bet we are going to   exceed that by a long shot.  I truly believe we will exceed the 1.0   million goal the MOW committee has always had set for this event.",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6738," ]Furthermore, in response to an earlier message, the 1992 U.S. est. output of ]sulfur dioxide (20 mill. tons) was equivalent to the entire output by the recent ]eruption of Mt. Pinautubo(Sp.).  Currently world carbon dioxide levels set at approx. ]360 ppm, in the past 120,000 years it has never gone above 280 (this info ]was found using ice core samples from the joint French/Russian/U.S. Vostok ]project).  Furthermore,  the background emmisions of chlorine compounds into ]the atmoshpere is about 0.6 ppb annually, it now sits at 3.5.  This OVERWHELMING ]data/info is found in the World Resources doc. published by Oxford University.  Good evidence.  ]The ozone hole in the Northern and Southern Hemispheres keeps getting bigger ]and stickin' around longer whilst skeptics ponder how wrong or corrupt all this ]data from government and international scientific institutions is.  It is a pity, that, ]if the skeptics are wrong and we base our complacency on their Limbaugh ]psycho babble, then we will find ourselves strapped by limited options with ]which to rectify the primal engineering of our industrial age.  What ozone hole in the northern hemisphere?  What exactly will happen if we get an",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6869,   We're having to associate with you against our will.  This is fascism!   You don't have to associate with anyone against your will.  Go live in a cave.  We won't miss you.  Drewcifer  ,18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
6698," WOW!  Another Clayton wannabe.  Typical response: lack of logic.  Define 'deviant':  someone who deviates from the normal.  Ok, so far. Define 'normal':   erm, umm.  If you define yourself as normal then it is for you to prove that you are (within limits, which then brings in the question, what are the limits?  For you we may have to broaden them to other's intolerance ;-) ) 'normal'.  Difficult to prove.  From what you have posted it must follow that `normal` to you means someone without compassion and a sense of justice. But it does look as if you went to the Clayton school of logic, doesn't it?   Again an astounding lack of logic!  Wow!  You must define what you say such that everyone agrees.  Here you have used the phrase ""sexual deviant"".  How in the hell do you define that?  As someone who does something sexually that _you_ don't?  By this definition you most probably mean the majority of the planet.  How do you know that your next door neighbour doesn't like custard to be spread over his genetalia then",18,talk.politics.misc,2023-10-14 18:59:16.722480,yes
